name,address,city,state,zip,lat,long,ratings,# of people,open
Perkins Restaurant & Bakery,2626 Gulf To Bay Blvd,Clearwater,FL,33759,27.960986,-82.72938028,3.5,73,1
Pholicious Countryside Mall,"27001 US Hwy 19 N, Ste 9245",Clearwater,FL,33761,28.017461,-82.732546,3.5,46,1
Pink & White Nails Salon & Spa of Clearwater,2518 N McMullen Booth Rd,Clearwater,FL,33761,28.013192,-82.7092251,3.5,22,1
Red Robin Gourmet Burgers and Brews,"27001 US Hwy 19 N, Ste 1130",Clearwater,FL,33761,28.016693,-82.734672,3.5,175,1
Red Tiki Bar,7361 46th Av N,Saint Petersburg,FL,33709,27.8139075,-82.7404816,3.5,13,1
Ruby Thai Kitchen,"27001 US Hwy 19 N, Ste 2081",Clearwater,FL,33761,28.0379796,-82.72275,3.5,8,1
Russo's New York Pizzeria - Clearwater,2233 Gulf To Bay Blvd,Clearwater,FL,33765,27.9600451,-82.7443439,3.5,207,1
Salem's Fresh Eats,880 34th St N,Saint Petersburg,FL,33713,27.7805877,-82.6798471,3.5,73,1
Samgelo's Pizza,650 Mandalay Ave,Clearwater Beach,FL,33767,27.9880793,-82.8267611,3.5,79,1
Seminole Subs & Gyros,1001 S Missouri Ave,Clearwater,FL,33756,27.9549583,-82.7872498,3.5,59,1
Taco Bell,2990 Gulf To Bay Blvd,Clearwater,FL,33759,27.96090578,-82.71304336,3.5,16,1
Thai Coconut and Sushi,1280 S Missouri Ave,Clearwater,FL,33756,27.951473,-82.7878604,3.5,161,1
The Avenue DTSP,330 1st Ave S,Saint Petersburg,FL,33701,27.770057,-82.637674,3.5,734,1
The Birch & Vine,340 Beach Dr NE,Saint Petersburg,FL,33701,27.77602622,-82.63205207,3.5,398,1
The Brown Boxer Pub and Grille,483 Mandalay Ave,Clearwater Beach,FL,33767,27.98182577,-82.82681445,3.5,290,1
The Brown Boxer Southbeach,741 Bayway Blvd,Clearwater,FL,33767,27.9666824,-82.8231837,3.5,85,1
The Missing Piece - Clearwater,"28200 US Hwy 19 N, Ste C",Clearwater,FL,33761,28.028604,-82.739172,3.5,11,1
The Quick Red Fox,"2140 Drew St, Ste J",Clearwater,FL,33765,27.968387,-82.748937,3.5,7,1
Tony's Pizza,533 Central Ave,Saint Petersburg,FL,33701,27.77133598,-82.64086403,3.5,94,1
Top China,3018 54th Ave S,Saint Petersburg,FL,33712,27.71821461,-82.6734652,3.5,20,1
Travelodge Clearwater,21252 US Hwy19 N,Clearwater,FL,33765,27.965547,-82.731319,3.5,6,1
WingHouse Bar & Grill,2640 Gulf to Bay Blvd,Clearwater,FL,33759,27.9610775,-82.7282234,3.5,146,1
Wok Out Restaurant,"1444 S Belcher Rd, Ste B",Clearwater,FL,33764,27.94369393,-82.74628484,3.5,59,1
Wok-N-Roll of Clearwater,"2519 N McMullen Booth Rd, Ste 206",Clearwater,FL,33761,28.01316,-82.70764,3.5,34,1
Yaya's Flame Broiled Chicken,10378 Roosevelt Blvd N,Saint Petersburg,FL,33716,27.8661999,-82.643888,3.5,28,1
Amy's China One,1537 S Highland Ave,Clearwater,FL,33756,27.9408821,-82.7738753,4,35,1
Another Broken Egg Cafe,2554 N McMullen Booth Rd,Clearwater,FL,33761,28.014054,-82.709827,4,326,1
Aroy Thai and Sushi,5306 Seminole Blvd,Saint Petersburg,FL,33708,27.8204926,-82.7873129,4,60,1
Badfins Food + Brew,215 S Gulfview Blvd,Clearwater,FL,33767,27.97461,-82.8288798,4,593,1
Ban Thai and Sushi Restaurant,"2519 N McMullen Booth Rd, Ste 505",Clearwater,FL,33761,28.01294838,-82.7082768,4,204,1
Banelly Taqueria,901 S Missouri Ave,Clearwater,FL,33756,27.9560812,-82.787425,4,24,1
Basimo Beach Cafe,"1261 Gulf Blvd, Ste 120",Clearwater,FL,33767,27.95199567,-82.829717,4,339,1
Beau & Mo's Italian Eating House,2924 5th Ave N,Saint Petersburg,FL,33713,27.77702191,-82.67333915,4,357,1
Big Frog Custom T-Shirts & More,1874 Gulf to Bay Blvd,Clearwater,FL,33765,27.9610827,-82.7597232,4,14,1
Bula Kafe,2500 5th Ave N,Saint Petersburg,FL,33713,27.7771585,-82.6675529,4,94,1
Cabanas Coastal Grill,655 S Gulfview Blvd,Clearwater Beach,FL,33767,27.9664356,-82.8257302,4,11,1
Cakes by Carolynn A Special Touch,3153 5th Ave N,Saint Petersburg,FL,33713,27.777673,-82.6765854,4,37,1
Cappy's Pizzeria,2900 1st Ave N,Saint Petersburg,FL,33713,27.7716082,-82.672773,4,257,1
Charlie's Sushi & Japanese Restaurant,1200 Cleveland St,Clearwater,FL,33755,27.9658915,-82.7875025,4,97,1
Chick-fil-A,4623 Gulf Blvd,Saint Petersburg,FL,33706,27.72147784,-82.739555,4,72,1
Chile Verde Authentic Mexican Food,2801 22nd Ave N,Saint Petersburg,FL,33713,27.7923333,-82.6717507,4,289,1
China 88,"1969 Sunset Point Rd, Ste 4",Clearwater,FL,33765,27.98958406,-82.7565309,4,16,1
Classic Touch Dry Cleaners,"2551 Drew St, Ste 101",Clearwater,FL,33765,27.9670302,-82.73129991,4,23,1
ConeHeads Ice Cream,421 Gulfview Blvd,Clearwater Beach,FL,33767,27.9702649,-82.8290109,4,28,1
Copper Mug Liquors,1463 S Belcher Rd,Clearwater,FL,33764,27.94342244,-82.74545239,4,7,1
Crispy Cajun,2097 Drew St,Clearwater,FL,33765,27.9676007,-82.7508542,4,317,1
Datz - St. Pete,180 Central Ave,Saint Petersburg,FL,33701,27.77105485,-82.63521524,4,398,1
Doe Doe's Diner,9395 Bay Pines Blvd,Saint Petersburg,FL,33708,27.8142345,-82.7691387,4,115,1
Dollar Tree,"2683 Gulf To Bay Blvd, Ste 102",Clearwater,FL,33759,27.95938526,-82.72664078,4,6,1
El Huarache Azteca,22097 US Hwy 19 N,Clearwater,FL,33765,27.97271214,-82.72871044,4,131,1
El Huarache Azteca Restaurant,2908 Roosevelt Blvd,Clearwater,FL,33760,27.91686,-82.717372,4,47,1
Frenchy’s To Go,26145 US Hwy 19 N,Clearwater,FL,33763,28.0099,-82.73085,4,45,1
Frenchy's Off the Hook,49 Baymont St,Clearwater Beach,FL,33767,27.9819488,-82.8262142,4,9,1
Frenchy's Original Cafe,41 Baymont St,Clearwater Beach,FL,33767,27.98204,-82.826436,4,367,1
Frenchy's Saltwater Cafe,419 Poinsettia Ave,Clearwater Beach,FL,33767,27.978968,-82.826326,4,845,1
Fresh Kitchen,"4447 4th St N, Ste 2",Saint Petersburg,FL,33703,27.8126031,-82.6382577,4,327,1
Get Faded,2862 Gulf To Bay Blvd,Clearwater,FL,33759,27.96097431,-82.71916661,4,5,1
Goodyear Auto Service,4115 E Bay Dr,Clearwater,FL,33764,27.91599399,-82.74470381,4,13,1
Gordon Food Service,1661 Gulf To Bay Blvd,Clearwater,FL,33755,27.9605122,-82.7684277,4,6,1
Granadino's Italian Restaurant,1840 Drew St,Clearwater,FL,33765,27.9683523,-82.7611783,4,66,1
Gratzzi Italian Grille,211 2nd St S,Saint Petersburg,FL,33701,27.7691918,-82.635785,4,494,1
Green Mint Asian Grill,25821 US Hwy 19 N,Clearwater,FL,33763,28.006952,-82.72804,4,388,1
Hilton St. Petersburg Carillon Park,950 Lake Carillon Dr,Saint Petersburg,FL,33716,27.8904141,-82.6658049,4,79,1
Hogan's Beach Shop,"483 Mandalay Ave, Ste 108",Clearwater,FL,33767,27.98148,-82.826765,4,42,1
Ice & Cream Creamery,455 S Gulfview Blvd,Clearwater,FL,33767,27.969582,-82.8292323,4,107,1
Ichiban Japanese Restaurant & Sushi Bar,2050 16th St N,Saint Petersburg,FL,33704,27.790962,-82.6553597,4,84,1
Independent Bar,1049 Central Ave,Saint Petersburg,FL,33705,27.7713258,-82.6494652,4,29,1
Indian Bistro,2779 Gulf To Bay Blvd,Clearwater,FL,33759,27.960264,-82.721451,4,241,1
Italia Mia,1165 62nd Ave N,Saint Petersburg,FL,33702,27.829617,-82.650277,4,156,1
John's Fresh Produce Market,1496 S Belcher Rd,Clearwater,FL,33764,27.9425426,-82.7464087,4,32,1
Karma Juice Bar & Eatery - Saint Petersburg,1113 Central Ave,Saint Petersburg,FL,33705,27.771358,-82.6504963,4,196,1
Kiev Euro Deli,29821 US Hwy 19N,Clearwater,FL,33761,28.0431915,-82.7378133,4,6,1
King's Pizza,325 Coronado Dr,Clearwater,FL,33767,27.9725647,-82.82832336,4,224,1
Krepelicious Food Truck,,clearwater,FL,33764,27.9385015,-82.7401087,4,12,1
Little India,25000 US Hwy 19 N,Clearwater,FL,33761,27.999376,-82.73012,4,57,1
Marina Cantina,25 Causeway Blvd,Clearwater Beach,FL,33767,27.976757,-82.826572,4,447,1
Mellow Mushroom - Clearwater,2630 Gulf To Bay Blvd,Clearwater,FL,33759,27.96115731,-82.7285153,4,407,1
Model Citizen Hobbies,"5208 66th St N, Ste D",Saint Petersburg,FL,33709,27.8193185,-82.7289279,4,5,1
Monkey Bar of Clearwater,1681 Gulf To Bay Blvd,Clearwater,FL,33755,27.9607324,-82.7692863,4,16,1
Mori Sushi,1136 94th Ave N,Saint Petersburg,FL,33702,27.8568449,-82.6495937,4,141,1
Munch's Sundries & Restaurant,3920 6th St S,Saint Petersburg,FL,33705,27.732997,-82.6405157,4,162,1
New China,928 58th St N,Saint Petersburg,FL,33710,27.782096,-82.7138107,4,83,1
O'Keefe's Tavern,1219 S Fort Harrison Ave,Clearwater,FL,33756,27.952873,-82.7997141,4,160,1
Papa's New York Diner,1764 Gulf To Bay Blvd,Clearwater,FL,33755,27.9609269,-82.7637255,4,266,1
Parkshore Grill,"300 Beach Dr NE, Ste 104",Saint Petersburg,FL,33701,27.77515143,-82.63240655,4,519,1
PDQ St. Petersburg,4526 4th St N,Saint Petersburg,FL,33703,27.813624,-82.6391229,4,151,1
Pelican Pointe,445 S Gulfview Blvd,Clearwater,FL,33767,27.9695971,-82.8290074,4,45,1
Pickles Plus,2530 N McMullen Booth Rd,Clearwater,FL,33761,28.01364,-82.710083,4,138,1
PoFolks,2001 34th St N,Saint Petersburg,FL,33713,27.789875,-82.678791,4,182,1
Proino Breakfast & Lunch,1700 S Missouri Ave,Clearwater,FL,33756,27.9347746,-82.7878394,4,25,1
Proof : Cocktail Club,260 1st Ave N,Saint Petersburg,FL,33701,27.771827,-82.636553,4,21,1
Rita's Italian Ice,2510-A N McMullen Booth Rd,Clearwater,FL,33761,28.012301,-82.7090408,4,24,1
Roundabout Pizza,25 Causeway Blvd,Clearwater,FL,33767,27.97678543,-82.82653445,4,24,1
Royal Palms Natural Nail Spa,2601 4th St N,Saint Petersburg,FL,33704,27.7959056,-82.6382462,4,81,1
Rusty's Bistro,1160 Gulf Blvd,Clearwater Beach,FL,33767,27.9555556,-82.8287486,4,70,1
Ryan's Meat Market & Deli,7925 38th Ave N,Saint Petersburg,FL,33710,27.80660961,-82.74819799,4,21,1
Salon Fusion,3100 49th St N,Saint Petersburg,FL,33713,27.80017,-82.700436,4,5,1
Salt Cracker Fish Camp,25 Causeway Blvd,Clearwater,FL,33767,27.97674967,-82.82648932,4,483,1
Scrubs N Stuff,"3993 Tyrone Blvd N, Ste 202",Saint Petersburg,FL,33709,27.8097098,-82.7518531,4,16,1
SHOR American Seafood Grill,301 South Gulfview Blvd,Clearwater,FL,33767,27.9737827,-82.8290238,4,276,1
Speggtacular Clearwater Beach,770 S Gulfview Blvd,Clearwater,FL,33767,27.9664346,-82.8227583,4,248,1
Spring Garden Family Restaurant,1018 62nd Ave N,Saint Petersburg,FL,33702,27.8280732,-82.648302,4,41,1
Stillwaters Tavern,224 Beach Dr NE,Saint Petersburg,FL,33701,27.7741594,-82.6327728,4,798,1
Stone Soup Cafe,4122 16th St N,Saint Petersburg,FL,33703,27.8097878,-82.6552734,4,180,1
Sunset Grill,2328 Sunset Point Rd,Clearwater,FL,33765,27.9901447,-82.7406881,4,185,1
Sunset Grille,2996 Dr Martin Luther King Jr St N,Saint Petersburg,FL,33704,27.7992038,-82.6470149,4,48,1
Thai Spice Restaurant,"2475 McMullen Booth Rd, Ste B",Clearwater,FL,33759,28.011366,-82.71115,4,120,1
Thai Wok,11270 4th St N,Saint Petersburg,FL,33716,27.874373,-82.640223,4,116,1
The Bends,919 1st Ave N,Saint Petersburg,FL,33705,27.772302,-82.6473976,4,76,1
The Green Corner,1261 S Fort Harrison Ave,Clearwater,FL,33756,27.9508856,-82.7995667,4,21,1
The Local Deli & Cafe,"13501 Icot Blvd, Ste 100",Clearwater,FL,33760,27.8949212,-82.7145347,4,27,1
The Nosh Pit,4040 Park St N,Saint Petersburg,FL,33710,27.80895808,-82.7546252,4,40,1
Tijuana Flats,"2849 Gulf To Bay Blvd, Unit C",Clearwater,FL,33759,27.9602938,-82.7193292,4,35,1
Tips And Toes Nail Spa,28901 US Hwy 19 N,Clearwater,FL,33761,28.035449,-82.737615,4,21,1
TNT Restaurant,1107 28th St S,Saint Petersburg,FL,33711,27.7590131,-82.6714868,4,11,1
Toby's Original Little Italy Pizza,3523 49th St N,Saint Petersburg,FL,33710,27.804623,-82.6990597,4,297,1
Top Slice Pizzeria,21 3rd St N,Saint Petersburg,FL,33701,27.771722,-82.63691,4,111,1
Tosti's Spirits & Fine Wines,5125 34th St S,Saint Petersburg,FL,33711,27.72109574,-82.68074779,4,14,1
Urban Creamery,689 Central Ave,Saint Petersburg,FL,33701,27.7714559,-82.6435122,4,193,1
Verrazzanos New York Pizza,1801 Sunset Point Rd,Clearwater,FL,33765,27.9895455,-82.7626925,4,48,1
Violet Nails & Spa,10684 Gandy Blvd N,Saint Petersburg,FL,33702,27.8675212,-82.6227906,4,133,1
Waffle House,2510 Sunset Point Rd,Clearwater,FL,33765,27.99067756,-82.73243808,4,36,1
Waffle House,2525 54th Ave N,Saint Petersburg,FL,33714,27.8214463,-82.6670994,4,35,1
World Market,23674 US Hwy 19N,Clearwater,FL,33765,27.9888329,-82.7322409,4,42,1
Yummy Thai,10466 Roosevelt Blvd N,Saint Petersburg,FL,33716,27.8668583,-82.645064,4,180,1
11 Chicks,199 Dr Mlk Jr St N,Saint Petersburg,FL,33701,27.7732754,-82.6464653,4.5,214,1
321 Books,6901 22nd Ave N,Saint Petersburg,FL,33710,27.79400623,-82.73396149,4.5,19,1
5 de Mayo Bakery,1254 S Highland Ave,Clearwater,FL,33756,27.95116687,-82.77547245,4.5,17,1
A & N Italian Deli,17956 US Hwy 19 N,Clearwater,FL,33764,27.93605751,-82.73096285,4.5,71,1
Aldo’s New York Pizza,"2551 Drew St, Ste 201",Clearwater,FL,33765,27.96693,-82.731795,4.5,78,1
Alésia Restaurant,7204 Central Ave,Saint Petersburg,FL,33707,27.770676,-82.73819,4.5,293,1
Bella's Bakes Cakes and Bagels,7100 Central Ave St,Saint Petersburg,FL,33707,27.77055,-82.736834,4.5,73,1
Benedict's Family Restaurant,768 North Belcher Rd,Clearwater,FL,33765,27.9733545,-82.7464964,4.5,65,1
Casita Taqueria,2991 66th St N,Saint Petersburg,FL,33710,27.79880122,-82.72821478,4.5,63,1
Cassis Bakery,170 Beach Dr NE,Saint Petersburg,FL,33701,27.7733013,-82.633175,4.5,117,1
Chief's Creole Cafe,901 22nd St S,Saint Petersburg,FL,33712,27.7610061,-82.6631098,4.5,362,1
Clear Sky on Cleveland,418 Cleveland St,Clearwater,FL,33755,27.965888,-82.80054506,4.5,350,1
Clearwater Family Restaurant,1844 N Highland Ave,Clearwater,FL,33755,27.988415,-82.7757271,4.5,27,1
Cristino's Coal Oven Pizza,1101 S Fort Harrison Ave,Clearwater,FL,33756,27.9543263,-82.7996168,4.5,936,1
Crystal Bay Hotel,7401 Central Ave,Saint Petersburg,FL,33710,27.77130513,-82.74100699,4.5,44,1
D&E Donuts,1453 S Belcher Rd,Clearwater,FL,33764,27.943626,-82.7453974,4.5,36,1
Daily News Cafe & Restaurant,401 S Belcher Rd,Clearwater,FL,33765,27.9618776,-82.7454353,4.5,69,1
East Bistro - The Mediterranean Eatery,"4100 E Bay Dr, Unit B34",Clearwater,FL,33764,27.9169294,-82.7444492,4.5,259,1
Emily's Downtown Family Restaurant,101 S Garden Ave,Clearwater,FL,33756,27.964556,-82.798458,4.5,57,1
Five Palms Condominium Resort,673 Bay Esplanade,Clearwater Beach,FL,33767,27.9881729,-82.8242781,4.5,6,1
Five Star Pizza,1110 S Myrtle Ave,Clearwater,FL,33756,27.95399955,-82.7961323,4.5,20,1
Florida Subs & Gyros,2017 Gulf To Bay Blvd,Clearwater,FL,33765,27.9600935,-82.7534613,4.5,63,1
Fresca Vida Florida,1757 Clearwater Largo Rd,Clearwater,FL,33756,27.932956,-82.795527,4.5,54,1
Funky Sweets,11024 4th St N,Saint Petersburg,FL,33716,27.8725764,-82.640132,4.5,206,1
Fusion Cigar Lounge,483 Mandalay Ave,Clearwater,FL,33767,27.98148,-82.826765,4.5,66,1
Gaby's Family Restaurant,"4890 122nd Ave N, Ste 1",Clearwater,FL,33762,27.88239803,-82.69979384,4.5,34,1
Grassroots Kava House,957 Central Ave,Saint Petersburg,FL,33705,27.7713495,-82.6480913,4.5,71,1
Hacienda Corralejo Mexican Kitchen,1228 Cleveland St,Clearwater,FL,33755,27.966096,-82.786228,4.5,309,1
Hispania Tapas Bar & Cafe,34 N Ft Harrison Ave,Clearwater,FL,33755,27.9666149,-82.8001141,4.5,27,1
Ikigai Sushi Bowls and Wraps,"4195 54th Ave N, Unit E",Saint Petersburg,FL,33714,27.82150572,-82.68876607,4.5,71,1
Island Massage Therapy,"5901 Sun Blvd, Ste 205",Saint Petersburg,FL,33715,27.7136143,-82.7146769,4.5,7,1
